unique_products_2020,unique_products_2021,percentage_chg
A0118150101,A0118150101,59.7
A0118150102,A0118150102,53.6
A0118150103,A0118150103,53
A0118150104,A0118150104,60.6
A0219150201,A0219150201,61.4
A0219150202,A0219150202,54.5
A0220150203,A0220150203,53.6
A0320150301,A0320150301,50.6
A0418150103,A0418150103,70.8
A0418150104,A0418150104,71.5
A0418150105,A0418150105,80.7
A0418150106,A0418150106,83.7
A0519150201,A0519150201,71.7
A0519150202,A0519150202,64.1
A0519150203,A0519150203,75
A0519150204,A0519150204,67.7
A0519150205,A0519150205,66.5
A0519150206,A0519150206,74.5
A0519150207,A0519150207,69
A0519150208,A0519150208,73.7
A0619150301,A0619150301,70.5
A0619150302,A0619150302,71.8
A0620150303,A0620150303,68.6
A0620150304,A0620150304,82.7
A0620150305,A0620150305,71.5
A0620150306,A0620150306,66.5
A0621150307,A0621150307,71.6
A0621150308,A0621150308,76.4
A0721150401,A0721150401,73.7
A0721150402,A0721150402,69.6
A1018150101,A1018150101,85.9
A1018150102,A1018150102,81.7
A1018150103,A1018150103,83.6
A1118150201,A1118150201,84
A1118150202,A1118150202,86.5
A1119150203,A1119150203,88.5
A1219150301,A1219150301,97
A1219150302,A1219150302,88.7
A1219150303,A1219150303,87.7
A1319150401,A1319150401,82.1
A1320150402,A1320150402,87
A1320150403,A1320150403,95.3
A1420150501,A1420150501,85.2
A1618150101,A1618150101,338.4
A1618150102,A1618150102,352.4
A1618150103,A1618150103,353.3
A1618150104,A1618150104,329.8
A1718150201,A1718150201,331.9
A1718150202,A1718150202,330
A1718150203,A1718150203,343.6
A1718150204,A1718150204,349.7
A1819150301,A1819150301,327.9
A1819150302,A1819150302,338.2
A1819150303,A1819150303,337
A1819150304,A1819150304,331.6
A2118150101,A2118150101,55.9
A2118150102,A2118150102,53.5
A2118150103,A2118150103,53.7
A2118150104,A2118150104,52
A2118150105,A2118150105,59.4
A2118150106,A2118150106,55.9
A2218150201,A2218150201,53.4
A2218150202,A2218150202,54.1
A2219150203,A2219150203,59.9
A2219150204,A2219150204,59.1
A2219150205,A2219150205,58.2
A2219150206,A2219150206,54.9
A2319150301,A2319150301,57.6
A2319150302,A2319150302,67.9
A2319150303,A2319150303,56.2
A2319150304,A2319150304,56.3
A2319150305,A2319150305,58.3
A2319150306,A2319150306,52.9
A2419150401,A2419150401,57.4
A2419150402,A2419150402,50.8
A2419150403,A2419150403,54.8
A2419150404,A2419150404,57.3
A2419150405,A2419150405,61.3
A2420150406,A2420150406,55.8
A2918150101,A2918150101,62.2
A2918150102,A2918150102,64.8
A2918150103,A2918150103,67.8
A2918150104,A2918150104,67.6
A2918150105,A2918150105,73.1
A2918150106,A2918150106,60.9
A3018150201,A3018150201,67.4
A3018150202,A3018150202,66.8
A3018150203,A3018150203,68.2
A3019150204,A3019150204,66.3
A3019150205,A3019150205,74.4
A3019150206,A3019150206,67.7
A3119150301,A3119150301,59.2
A3119150302,A3119150302,57.6
A3119150303,A3119150303,64.4
A3120150304,A3120150304,70.4
A3120150305,A3120150305,69.3
A3120150306,A3120150306,65.8
A3220150401,A3220150401,62
